"site","human_influence_index","annual_temp","annual_prec","prec_seasonality","prec_driest_quarter","prec_warmest_quarter","mean_temp_diurnal_range","isothermality","temp_seasonality","temp_annual_range","annual_pet","aridity_index","climate_moisture","continentality","aurhely_annual_prec","aurhely_annual_temp","gsl","longitude","latitude"
"_00300000063701031712",14.0683165501816,82.9668426200912,1355.53875328549,11.0609407345411,291.286523555959,336.46600895296,76,297,6244.92926641434,255,726.730558018865,10.9980558165297,0.400000005960464,17.4015322253861,1391.95999908447,7.7916666885217,214,6.58546814487061,47.1692953426947
"_00300000139101142969",22,78.6568929527087,1402.57719697685,15.7040708799313,292.636628455756,442.069019429792,76,297.343107047291,6239.29590836465,255,706.434187316969,12.7801163291733,0.43344914022212,17.3798550072378,1352.1600112915,7.66833330988884,213,6.73426810632238,47.2186656485205
"_00300000139501147266",22,78.6568929527087,1402.57719697685,15.7040708799313,292.636628455756,442.069019429792,76,297.343107047291,6239.29590836465,255,706.434187316969,12.7801163291733,0.43344914022212,17.3798550072378,1352.1600112915,7.66833330988884,213,6.73426810632238,47.2186656485205
"_00300000139901147266",18,88.554648868671,1254.97493076074,12.3759226482572,267.298224644925,374.682043638342,76,296.291881175606,6267.88981077014,255.854059412197,735.664335711126,15.7433991757638,0.375652652210468,17.578757528059,1324.79999542236,8.01433328688145,219,6.68085489453257,47.2113630767911
"_00300000454401342796",22,94.2665277231326,1101.89675681864,11.7643171299668,233.609581842209,274.875458912364,76,295.020283805071,6284.47304232204,256.255966675104,788.141903028935,19.5487644276725,0.249778636677209,17.7706437077522,1240.2799987793,8.64966660737991,231,6.71097370491788,47.2644772173614
"_00300000455201342967",20.963489586693,96.6138073867851,1183.05250274297,12.9266979168776,251.512298955723,284.818883882441,76,295,6292.76389525167,256.298709538981,770.61602263513,19.4720358379597,0.29037059737868,17.7205088327954,1240.2799987793,8.64966660737991,231,6.73864589238666,47.2816131691418
"_00300000455601342967",18,87.102912397139,1287.06963415981,11.9234022393545,276.100989647742,323.253898680114,76,296.11036310397,6253.80281888028,255.88963689603,745.397491245116,15.924135896413,0.362316680996343,17.5168857186204,1391.80001068115,7.87266661326091,217,6.61486445715033,47.2134418466851
"_00300000456301352754",20.963489586693,96.6138073867851,1183.05250274297,12.9266979168776,251.512298955723,284.818883882441,76,295,6292.76389525167,256.298709538981,770.61602263513,19.4720358379597,0.29037059737868,17.7205088327954,1240.2799987793,8.64966660737991,231,6.73864589238666,47.2816131691418
"_00700000052701066200",22,77.4464789406104,1460.24111565536,13.2343705106482,311.272526057726,334.630703678693,76,297.55352105939,6251.38154941303,257,715.200788720819,13.5511606084076,0.449999988079071,17.5436851980272,1528.63999938965,7.09833333492279,204,6.28704737146737,46.826720497048
"_00800000038901050691",18,82.0973588803665,1332.7016443883,11.4257507411806,290.260443396447,384.259544993534,76,296.133956449804,6235.98482362524,254.951929189871,729.214156067246,12.5372749667696,0.412391040367216,17.4681649655865,1557.76000213623,7.60999993694325,209,6.39287700132408,47.0489432136163
"_00800000039001050691",18,82.0973588803665,1332.7016443883,11.4257507411806,290.260443396447,384.259544993534,76,296.133956449804,6235.98482362524,254.951929189871,729.214156067246,12.5372749667696,0.412391040367216,17.4681649655865,1557.76000213623,7.60999993694325,209,6.39287700132408,47.0489432136163
"_00800000039101050691",18,82.0973588803665,1332.7016443883,11.4257507411806,290.260443396447,384.259544993534,76,296.133956449804,6235.98482362524,254.951929189871,729.214156067246,12.5372749667696,0.412391040367216,17.4681649655865,1557.76000213623,7.60999993694325,209,6.39287700132408,47.0489432136163
"_00800000039201050691",22,86.4011742574085,1418.32313764158,8.7323861062783,318.468057347741,365.593040242226,76,296,6246.50936713831,255.584937632586,743.31746792135,14.6583174096076,0.387636638328759,17.5118166246873,1505.36000061035,8.27633339564006,221,6.33967850240432,47.0414829549532
