"species","sla","plant_height","seed_mass","ldmc","leaf_area","lnc_m","lpc_m","lnc_a","vcmax"
"ABIES ALBA",5.630740741,48.73333333,56.26666667,320.965,29.21666667,13.17017857,1.485764556,2.338977974,615.0651328
"ABIES NORDMANNIANA",NA,44,62.27333333,NA,NA,NA,NA,NA,NA
"ACACIA DEALBATA",17.405,22.46285714,11.42055556,NA,3.5,NA,NA,NA,NA
"ACANTHUS MOLLIS",NA,NA,208,NA,NA,NA,NA,NA,NA
"ACER CAMPESTRE",15.20407407,16.29027778,54.86628571,346.2,3688.222,20.22625,1.727102645,1.330317775,349.8246192
"ACER MONSPESSULANUM",11.765,10.24727273,36.498,422.5,1260,19.69833333,1.35,1.674316475,440.2836182
"ACER NEGUNDO",22.74525425,9.146666667,29.02333333,345,6633.750851,27.082,2.316489996,1.190665961,313.1013312
"ACER OPALUS",16.28666667,14,81.6,NA,NA,32.7,NA,2.007777323,527.9715497
"ACER PLATANOIDES",18.579,28.08333333,133.0173333,376.4705882,7401.608919,20.746,1.695630857,1.116637063,293.6344554
"ACER PSEUDOPLATANUS",13.59795699,29.62108108,75.652,351.238806,7968.021912,26.05041667,1.878446577,1.915759602,503.7742753
"ACER X CORIACEUM",NA,NA,20,NA,NA,NA,NA,NA,NA
"ACHILLEA",NA,NA,NA,NA,3019,NA,NA,NA,NA
"ACHILLEA AGERATUM",NA,0.5,0.06,NA,NA,NA,NA,NA,NA
"ACHILLEA ATRATA",NA,0.15,NA,NA,NA,NA,NA,NA,NA
"ACHILLEA CHAMAEMELIFOLIA",NA,NA,0.3,NA,NA,NA,NA,NA,NA
"ACHILLEA COLLINA",17.4,0.565,0.146666667,188.145,1037.49,NA,NA,NA,NA
"ACHILLEA DISTANS",NA,NA,0.205,NA,NA,NA,NA,NA,NA
"ACHILLEA ERBA-ROTTA",22.21,NA,NA,NA,NA,NA,NA,NA,NA
"ACHILLEA MACROPHYLLA",20.13,0.73,NA,217.1925,13829.085,NA,NA,NA,NA
"ACHILLEA MARITIMA",NA,NA,10.34666667,NA,NA,NA,NA,NA,NA
"ACHILLEA MILLEFOLIUM",13.90752524,0.445058681,0.149564356,222.26265,780.6196732,20.90934314,2.703330647,1.503455344,395.3534282
"ACHILLEA MOSCHATA",22.22,NA,0.28,NA,NA,NA,NA,NA,NA
"ACHILLEA NANA",NA,0.039166667,NA,198.2010956,NA,25.45800447,NA,NA,NA
"ACHILLEA NOBILIS",NA,0.52,0.06,NA,NA,NA,NA,NA,NA
"ACHILLEA ODORATA",NA,NA,0.08,NA,NA,NA,NA,NA,NA
"ACHILLEA PTARMICA",18.57545455,0.795833333,0.229166667,217.1666667,119,NA,NA,NA,NA
"ACHILLEA ROSEO-ALBA",NA,0.475833333,NA,NA,NA,NA,NA,NA,NA
"ACHILLEA SETACEA",NA,0.294,NA,NA,NA,NA,NA,NA,NA
"ACHNATHERUM CALAMAGROSTIS",NA,1.133333333,0.395,NA,NA,NA,NA,NA,NA
"ACONITUM LYCOCTONUM",22.59,1.3875,3.415,134.7,11512.25,NA,NA,NA,NA
"ACONITUM NAPELLUS",21.11,1.081428571,3.73,170,5535.625,NA,NA,NA,NA
"ACONITUM VARIEGATUM",NA,1.325,NA,NA,NA,NA,NA,NA,NA
"ACORUS CALAMUS",21.54222222,1.153333333,2.983333333,244.4375,10067.375,18,0.3,0.835568393,219.7237384
"ACTAEA SPICATA",37.33,0.518,6.370833333,245.59,21941.25,NA,NA,NA,NA
"ADENOCARPUS COMPLICATUS",NA,2,8.21625,NA,NA,NA,NA,NA,NA
"ADENOCARPUS TELONENSIS",NA,NA,7,NA,NA,NA,NA,NA,NA
"ADENOSTYLES ALLIARIAE",26.705,0.9375,NA,115,74770.5,24.96,NA,0.934656431,245.7802461
"ADENOSTYLES ALPINA",NA,0.7,1.38,NA,NA,27.24,NA,NA,NA
"ADIANTUM CAPILLUS-VENERIS",NA,0.455,0.15,NA,NA,NA,0.36,NA,NA
"ADONIS AESTIVALIS",30.04,0.451428571,8.4825,120.1,330.95,11.23333333,0.6,0.37394585,98.33399734
"ADONIS ANNUA",NA,0.216666667,11,NA,NA,NA,NA,NA,NA
"ADONIS FLAMMEA",NA,0.424,2.5,NA,NA,NA,NA,NA,NA
"ADONIS VERNALIS",15.095,0.353333333,NA,355,274.5,28.1,NA,1.861543557,489.5174508
"ADOXA MOSCHATELLINA",38.4,0.102222222,63.85,133.3333333,1903.666667,37.25,3.9,0.970052083,255.088
"AEGILOPS CYLINDRICA",NA,NA,22.01222222,NA,NA,NA,NA,NA,NA
"AEGILOPS NEGLECTA",29.28,0.35,19.65,210,NA,20.91,2.92,0.714139344,187.7923672
"AEGILOPS OVATA",23.61222222,0.126666667,15.0225,256.6666667,70.5,28.1425,NA,1.191861559,313.4157296
"AEGILOPS TRIUNCIALIS",NA,NA,11.76142857,NA,NA,17.9,NA,NA,NA
"AEGOPODIUM PODAGRARIA",30.02086957,0.682272727,2.277142857,228.3333333,5978.632,29.96538462,3.737803318,0.998151787,262.4771881
"AELUROPUS LITTORALIS",NA,NA,0.1,NA,NA,14.0125,1.388947368,NA,NA
"AESCULUS HIPPOCASTANUM",13.52595238,28,10630.34133,328.3783784,6341.741667,23.01230769,1.572891345,1.701344722,447.3910524
"AETHIONEMA SAXATILE",NA,0.161666667,0.48,NA,NA,NA,NA,NA,NA
"AETHUSA CYNAPIUM",32.568,0.907142857,1.52,191.4425,3207.7575,NA,NA,NA,NA
"AGAVE AMERICANA",2.45,1.82,30.19,NA,NA,NA,NA,NA,NA
"AGRIMONIA EUPATORIA",17.796875,0.6265,8.584642857,342.7142857,6346.28,15.98333333,1.835,0.898097747,236.1666573
"AGRIMONIA PROCERA",19.472,1.44,21.71,309.3266667,12416.05667,NA,NA,NA,NA
"AGROPYRON CRISTATUM",9.186,0.445,3.95,NA,193.75,15.25,0.973571429,1.660134988,436.5544089
"AGROSTEMMA GITHAGO",17.73,0.893636364,13.13222222,204.595,999.75,NA,NA,NA,NA
"AGROSTIS",NA,NA,NA,NA,75,21.4,NA,NA,NA
"AGROSTIS ALPINA",NA,0.1175,NA,NA,NA,NA,NA,NA,NA
"AGROSTIS CANINA",31.69136364,0.371333333,0.053333333,264.1045455,95.1875,23.58428571,3.128,0.744186523,195.6936695
"AGROSTIS CAPILLARIS",29.92424441,0.359506818,0.064601852,266.199468,196.6523529,23.09906337,2.009355813,0.771918016,202.9860316
"AGROSTIS CURTISII",22,0.5,0.083333333,340,40,NA,NA,NA,NA
"AGROSTIS GIGANTEA",18.165,0.954166667,0.082222222,241.82,190.915,NA,NA,NA,NA
"AGROSTIS MERTENSII",22.632,0.076666667,0.12125,318,52.22277778,NA,NA,NA,NA
"AGROSTIS POURRETII",35.575,0.4,0.06,305,NA,19.01,2.503,0.53436402,140.5180726
"AGROSTIS RUPESTRIS",15.5,0.0625,NA,NA,NA,NA,NA,NA,NA
"AGROSTIS SCABRA",11.01833333,0.623,0.05375,345,96.944,13,NA,1.179851762,310.2575949
"AGROSTIS SCHLEICHERI",NA,0.2625,NA,NA,NA,NA,NA,NA,NA
"AGROSTIS SCHRADERIANA",NA,0.4125,NA,NA,NA,NA,NA,NA,NA
"AGROSTIS STOLONIFERA",30.29059468,0.383242857,0.070257825,291.8643721,242.8452632,29.04175439,2.154976531,0.958771351,252.1215826
"AGROSTIS VINEALIS",18.15285714,0.328888889,0.054545455,316.6666667,249.166,27.44666667,NA,1.511975027,397.5937914
"AILANTHUS ALTISSIMA",14.82,24.78125,29.12,NA,NA,NA,NA,NA,NA
"AIRA CARYOPHYLLEA",21.605,0.17625,0.130666667,273.3333333,14.2,NA,NA,NA,NA
"AIRA CUPANIANA",NA,NA,0.042,NA,NA,NA,NA,NA,NA
"AIRA ELEGANTISSIMA",NA,0.3,0.05,NA,NA,NA,NA,NA,NA
"AIRA PRAECOX",21.82545455,0.137272727,0.160769231,267.72875,12.768,NA,NA,NA,NA
"AJUGA CHAMAEPITYS",22.48,0.13,NA,156.245,70.5,NA,NA,NA,NA
"AJUGA GENEVENSIS",25.775,0.24,NA,143.465,368.5,NA,NA,NA,NA
"AJUGA IVA",NA,NA,1.4,NA,NA,NA,NA,NA,NA
