"species","sla","ldmc","lnc_m","lpc_m"
"ABIES ALBA",5.630740741,320.965,13.17017857,1.485764556
"ACER CAMPESTRE",15.20407407,346.2,20.22625,1.727102645
"ACER MONSPESSULANUM",11.765,422.5,19.69833333,1.35
"ACER NEGUNDO",22.74525425,345,27.082,2.316489996
"ACER PLATANOIDES",18.579,376.4705882,20.746,1.695630857
"ACER PSEUDOPLATANUS",13.59795699,351.238806,26.05041667,1.878446577
"ACHILLEA MILLEFOLIUM",13.90752524,222.26265,20.90934314,2.703330647
"ACORUS CALAMUS",21.54222222,244.4375,18,0.3
"ADONIS AESTIVALIS",30.04,120.1,11.23333333,0.6
"ADOXA MOSCHATELLINA",38.4,133.3333333,37.25,3.9
"AEGILOPS NEGLECTA",29.28,210,20.91,2.92
"AEGOPODIUM PODAGRARIA",30.02086957,228.3333333,29.96538462,3.737803318
"AESCULUS HIPPOCASTANUM",13.52595238,328.3783784,23.01230769,1.572891345
"AGRIMONIA EUPATORIA",17.796875,342.7142857,15.98333333,1.835
"AGROSTIS CANINA",31.69136364,264.1045455,23.58428571,3.128
"AGROSTIS CAPILLARIS",29.92424441,266.199468,23.09906337,2.009355813
"AGROSTIS POURRETII",35.575,305,19.01,2.503
"AGROSTIS STOLONIFERA",30.29059468,291.8643721,29.04175439,2.154976531
"AJUGA REPTANS",32.865,159.8683333,20.52714286,3.438166283
"ALCHEMILLA",23.96342204,210.2614009,24.1,1.817990976
"ALCHEMILLA XANTHOCHLORA",18.75375,226.5933333,23.735,1.695
"ALLIARIA PETIOLATA",38.38529412,159.1428571,42.81,3.345476634
"ALLIUM URSINUM",37.20846154,110.5,38.26666667,3.533333333
"ALNUS GLUTINOSA",14.73580645,321.2285714,32.02392857,1.909438617
"ALNUS INCANA",16.95230769,257.82,34.0108,2.358493463
"ALOPECURUS PRATENSIS",22.44235294,290.4494444,26.65733333,2.855230495
"ALOPECURUS RENDLEI",43.93,200,27.265,3.332655654
"ALYSSUM ALYSSOIDES",13.896,261.9024,20.41666667,2.59875
"AMMOPHILA ARENARIA",6.678888889,320,12.65,0.839110561
"ANDROMEDA POLIFOLIA",7.397692308,412.815,14.61692308,0.83
"ANDROSACE SEPTENTRIONALIS",24.51666667,161.1866667,19.49,2.904390011
"ANEMONE NEMOROSA",29.7573913,191.25,24.84166667,2.042857143
"ANEMONE RANUNCULOIDES",36.7,182.0325,28.7,3.2
"ANGELICA ARCHANGELICA",18.785,192.5,30.92571429,1.695433201
"ANGELICA SYLVESTRIS",27.46133333,201.25,30.22375,3.866666667
"ANTENNARIA DIOICA",17.396,273.8,14.94625,1.972469753
"ANTHEMIS ARVENSIS",23.425,147.182,17.01,2.13
"ANTHOXANTHUM ODORATUM",26.61761291,268.4764767,21.33115079,1.941143537
"ANTHRISCUS SYLVESTRIS",34.56615385,235,29.08066667,3.95
"ANTHYLLIS MONTANA",12.41471428,294.6919524,24.69166667,1.490833333
"ANTHYLLIS VULNERARIA",15.48511458,201.9777609,28.71011644,1.660714286
"APHYLLANTHES MONSPELIENSIS",5.605505555,275.4939833,23.465,1.5775
"ARABIDOPSIS THALIANA",31.957,139.5714286,35.7,4.9
"ARBUTUS UNEDO",8.598490566,307.0930233,13.79753968,1.083307821
"ARCTOSTAPHYLOS ALPINUS",12.74571429,263.51,15.63636364,1.2375
"ARCTOSTAPHYLOS UVA-URSI",7.341,471.2893533,9.43536623,2.014
"ARENARIA SERPYLLIFOLIA",19.09080342,260.9380909,19.4975,2.02425
"ARMERIA MARITIMA",15.68125,180,17,2
"ARNICA MONTANA",18.33,150.37,17.33,1.45
"ARRHENATHERUM ELATIUS",28.91033387,265.7593139,30.7821131,3.354115338
"ARTEMISIA CAMPESTRIS",15.65,197.522,18.88,2.489227621
"ARUM MACULATUM",33.17,115.5,42.45,3.75
"ARUNCUS DIOICUS",43.64,199.4175,19.1,1.9
"ASARUM EUROPAEUM",26.625,140.4125,27.51666667,4.7
"ASCLEPIAS SYRIACA",15.97,196.1842105,20.995,3.4
"ASTER",25.38,233.3333333,18.8,2.2
"ASTRAGALUS ALPINUS",25.97727273,180.51,45.95041667,2.8775
"ASTRAGALUS MONSPESSULANUS",13.968,252.586,35.075,1.5225
"ASTRAGALUS PELECINUS",19.34,230,29.07,1.3897
"ASTRAGALUS SEMPERVIRENS",17.69,247.54,37.39,2.32
"ASTRANTIA MAJOR",24.16449745,177.3565891,38.71,2.833749211
"ATRIPLEX LITTORALIS",14.49142857,122.5,27.53333333,2.173333333
"AVENA BARBATA",22.29105263,251.0833333,20.13727273,1.85
"AVENA SATIVA",17.262,222.1483333,28.3,1.68
"AVENULA PRATENSIS",11.10162901,277.5636031,18.79531818,1.2
"AVENULA PUBESCENS",18.14703594,288.3171051,18.70658077,2.495437716
"BARTSIA ALPINA",16.435,192.92,22.7347619,1.580833333
"BELLIS ANNUA",32.90599883,114.9008592,20.79261936,2.016000077
"BELLIS PERENNIS",31.02489041,118.0718818,25.30666667,3.366869611
"BERBERIS VULGARIS",12.90058824,340.5714286,23.03384615,1.216828953
"BETA VULGARIS",20.665,160,38.1,4.25
"BETULA NANA",12.878,403.3333333,21.95308411,1.932089652
"BETULA PENDULA",14.06775,349.47073,26.16187148,2.088887228
"BETULA PUBESCENS",14.25625,350,25.07809524,2.129965357
"BIDENS FRONDOSA",29.80571429,194.798,25.06,2.575034032
"BLACKSTONIA PERFOLIATA",24.55,220,17.28571429,1.2
"BOLBOSCHOENUS MARITIMUS",13.66,270,21,1.446666667
"BOTHRIOCHLOA ISCHAEMUM",22.496,300,14.51636364,1.02625
"BRACHYPODIUM DISTACHYON",24.1912433,345.6944693,19.07367024,1.13314538
"BRACHYPODIUM PHOENICOIDES",13.20288878,400.96685,16.42803909,1.136120271
"BRACHYPODIUM PINNATUM",23.07165447,359.5313371,21.24323168,1.756764706
"BRACHYPODIUM SYLVATICUM",42.91529412,304.7477778,24.60555556,2.057
"BRIZA MEDIA",22.54840425,277.2858352,22.19203757,1.075643018
"BROMUS DIANDRUS",27.827,309.8333333,22.90719963,1.7725
"BROMUS ERECTUS",16.54404784,346.8611728,20.06990196,1.423548413
"BROMUS HORDEACEUS",25.57122117,278.0789431,26.37033416,3.063233536
"BROMUS INERMIS",19.91288288,356.9648562,20.56333333,0.57
"BROMUS LANCEOLATUS",29.533125,265.3333333,21.36333333,3.689425127
"BROMUS MADRITENSIS",27.94305705,288.1150089,23.76259414,1.878514314
"BROMUS RAMOSUS",24.24466667,246.8333333,29.9,1.4
"BROMUS STERILIS",30.09709677,227.5333333,23.02166667,2.542220613
"BROMUS TECTORUM",23.905,183.775,22.015,2.479196553
"BUDDLEJA DAVIDII",12.89959184,311.5128205,19.8,2.341222882
"BUXUS SEMPERVIRENS",8.398292929,411.7993,17.60817972,1.280101
"CALAMAGROSTIS ARUNDINACEA",17.42166667,436.6666667,20.185,4.063333333
"CALAMAGROSTIS CANESCENS",23.42857143,360.5,21.6,1.5
"CALAMAGROSTIS EPIGEJOS",14.82611111,397.7116667,18.20277778,1.266224371
"CALAMAGROSTIS STRICTA",24.21,300,14.7852,1.186666667
"CALAMAGROSTIS VILLOSA",24.93,293.95,24.07142857,1.957142857
"CALLA PALUSTRIS",34.022,105,28.6,0.8
"CALLUNA VULGARIS",12.18444444,381.6111111,13.43454545,1.091222668
"CALTHA PALUSTRIS",30.19363636,139,35.49,3.64390898
"CALYSTEGIA SEPIUM",32.37777778,191.3333333,31.56,1.928064979
"CALYSTEGIA SOLDANELLA",15.895,120,23.4,1.74
"CAMPANULA BARBATA",20.01833333,163.69,15.135,2.05
"CAMPANULA RHOMBOIDALIS",25.76,270.56,25.9,1.48
"CAMPANULA ROTUNDIFOLIA",20.84259259,229.3424294,27.90011472,2.066666667
"CAPSELLA BURSA-PASTORIS",27.109,170.3845926,28.19,4.1125
"CARDAMINE HIRSUTA",27.96,121.1428571,17.86,3.183257764
"CARDUUS ACANTHOIDES",18.74,130,45.26,2.803822423
"CARDUUS DEFLORATUS",12.975,170.6733333,19.615,1.9
"CARDUUS NUTANS",14.87710313,127.6992642,30.74558775,3.477132646
"CAREX",17.48125,330.7692308,24.39338983,2.33818272
